episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
1,1.0,11,5.5,1.0,0.5,13
2,0.9980019986673331,19,10.0,9.0,3.3333333333333335,34
3,0.997004495503373,64,23.5,54.0,16.0,100
4,0.9960079893439915,20,22.8,10.0,14.8,122
5,0.9950124791926823,16,21.666666666666668,6.0,13.333333333333334,140
6,0.9940179640539353,10,20.0,0.0,11.428571428571429,152
7,0.9930244429332351,17,19.625,7.0,10.875,171
8,0.9920319148370607,11,18.666666666666668,1.0,9.777777777777779,184
9,0.9910403787728836,36,20.4,26.0,11.4,222
10,0.9900498337491681,13,19.727272727272727,3.0,10.636363636363637,237
11,0.9890602787753687,14,19.25,4.0,10.083333333333334,253
12,0.9880717128619305,9,18.46153846153846,-1.0,9.23076923076923,264
13,0.9870841350202876,8,17.714285714285715,-2.0,8.428571428571429,274
14,0.9860975442628619,24,18.133333333333333,14.0,8.8,300
15,0.9851119396030626,11,17.6875,1.0,8.3125,313
16,0.9841273200552851,13,17.41176470588235,3.0,8.0,328
17,0.9831436846349096,11,17.055555555555557,1.0,7.611111111111111,341
18,0.9821610323583008,12,16.789473684210527,2.0,7.315789473684211,355
19,0.981179362242806,22,17.05,12.0,7.55,379
20,0.9801986733067553,21,17.238095238095237,11.0,7.714285714285714,402
21,0.9792189645694596,11,16.954545454545453,1.0,7.409090909090909,415
22,0.97824023505121,14,16.82608695652174,4.0,7.260869565217392,431
23,0.9772624837732771,18,16.875,8.0,7.291666666666667,451
24,0.9762857097579093,19,16.96,9.0,7.36,472
25,0.9753099120283326,12,16.76923076923077,2.0,7.153846153846154,486
26,0.9743350896087494,12,16.59259259259259,2.0,6.962962962962963,500
27,0.9733612415243368,18,16.642857142857142,8.0,7.0,520
28,0.9723883668012469,47,17.689655172413794,37.0,8.03448275862069,569
29,0.9714164644666048,42,18.5,32.0,8.833333333333334,613
30,0.9704455335485082,16,18.419354838709676,6.0,8.741935483870968,631
31,0.9694755730760259,16,18.34375,6.0,8.65625,649
32,0.9685065820791976,14,18.21212121212121,4.0,8.515151515151516,665
33,0.967538559589032,24,18.38235294117647,14.0,8.676470588235293,691
34,0.9665715046375066,12,18.2,2.0,8.485714285714286,705
35,0.9656054162575665,14,18.083333333333332,4.0,8.36111111111111,721
36,0.9646402934831231,17,18.054054054054053,7.0,8.324324324324325,740
37,0.9636761353490535,31,18.394736842105264,21.0,8.657894736842104,773
38,0.9627129408911995,18,18.384615384615383,8.0,8.64102564102564,793
39,0.9617507091463667,13,18.25,3.0,8.5,808
40,0.9607894391523232,12,18.097560975609756,2.0,8.341463414634147,822
41,0.9598291299477989,40,18.61904761904762,30.0,8.857142857142858,864
42,0.9588697805724845,16,18.558139534883722,6.0,8.790697674418604,882
43,0.9579113900670306,35,18.931818181818183,25.0,9.159090909090908,919
44,0.9569539574730467,12,18.77777777777778,2.0,9.0,933
45,0.9559974818331,14,18.67391304347826,4.0,8.891304347826088,949
46,0.9550419621907147,38,19.085106382978722,28.0,9.297872340425531,989
47,0.9540873975903711,18,19.0625,8.0,9.270833333333334,1009
48,0.9531337870775047,15,18.979591836734695,5.0,9.183673469387756,1026
49,0.9521811296985049,25,19.1,15.0,9.3,1053
50,0.951229424500714,29,19.294117647058822,19.0,9.490196078431373,1084
51,0.950278670532427,8,19.076923076923077,-2.0,9.26923076923077,1094
52,0.9493288668428895,43,19.528301886792452,33.0,9.716981132075471,1139
53,0.9483800124822982,40,19.90740740740741,30.0,10.092592592592593,1181
54,0.9474321065017983,48,20.418181818181818,38.0,10.6,1231
55,0.9464851479534838,14,20.303571428571427,4.0,10.482142857142858,1247
56,0.9455391358903963,46,20.75438596491228,36.0,10.929824561403509,1295
57,0.9445940693665233,38,21.051724137931036,28.0,11.224137931034482,1335
58,0.9436499474367985,29,21.1864406779661,19.0,11.35593220338983,1366
59,0.9427067691570997,23,21.216666666666665,13.0,11.383333333333333,1391
60,0.9417645335842487,14,21.098360655737704,4.0,11.262295081967213,1407
61,0.9408232397760097,11,20.93548387096774,1.0,11.096774193548388,1420
