episode,epsilon,score,average_score,total_reward,average_reward
1,1.0,34,17.0,24.0,12.0
2,0.9995,15,16.333333333333332,5.0,9.666666666666666
3,0.9990002500000001,12,15.25,2.0,7.75
4,0.9985007498750001,14,15.0,4.0,7.0
5,0.9980014995000627,64,23.166666666666668,54.0,14.833333333333334
6,0.9975024987503127,34,24.714285714285715,24.0,16.142857142857142
7,0.9970037475009376,16,23.625,6.0,14.875
8,0.9965052456271871,14,22.555555555555557,4.0,13.666666666666666
9,0.9960069930043736,15,21.8,5.0,12.8
10,0.9955089895078715,21,21.727272727272727,11.0,12.636363636363637
11,0.9950112350131176,13,21.0,3.0,11.833333333333334
12,0.9945137293956111,8,20.0,-2.0,10.76923076923077
13,0.9940164725309134,15,19.642857142857142,5.0,10.357142857142858
14,0.993519464294648,15,19.333333333333332,5.0,10.0
15,0.9930227045625007,39,20.5625,29.0,11.1875
16,0.9925261932102195,13,20.11764705882353,3.0,10.705882352941176
17,0.9920299301136144,46,21.555555555555557,36.0,12.11111111111111
18,0.9915339151485576,48,22.94736842105263,38.0,13.473684210526315
19,0.9910381481909833,14,22.5,4.0,13.0
20,0.990542629116888,39,23.285714285714285,29.0,13.761904761904763
21,0.9900473578023296,7,22.545454545454547,-3.0,13.0
22,0.9895523341234285,33,23.0,23.0,13.434782608695652
23,0.9890575579563669,20,22.875,10.0,13.291666666666666
24,0.9885630291773887,21,22.8,11.0,13.2
25,0.9880687476628001,13,22.423076923076923,3.0,12.807692307692308
26,0.9875747132889687,8,21.88888888888889,-2.0,12.25925925925926
27,0.9870809259323243,12,21.535714285714285,2.0,11.892857142857142
28,0.9865873854693582,22,21.551724137931036,12.0,11.89655172413793
29,0.9860940917766235,8,21.1,-2.0,11.433333333333334
30,0.9856010447307353,23,21.161290322580644,13.0,11.483870967741936
31,0.98510824420837,9,20.78125,-1.0,11.09375
32,0.9846156900862658,22,20.818181818181817,12.0,11.121212121212121
33,0.9841233822412228,25,20.941176470588236,15.0,11.235294117647058
34,0.9836313205501022,52,21.82857142857143,42.0,12.114285714285714
35,0.9831395048898272,35,22.194444444444443,25.0,12.472222222222221
36,0.9826479351373822,14,21.972972972972972,4.0,12.243243243243244
37,0.9821566111698136,33,22.263157894736842,23.0,12.526315789473685
38,0.9816655328642288,17,22.128205128205128,7.0,12.384615384615385
39,0.9811747000977967,16,21.975,6.0,12.225
40,0.9806841127477479,16,21.829268292682926,6.0,12.073170731707316
41,0.9801937706913741,23,21.857142857142858,13.0,12.095238095238095
