episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,-0.28864023442546366,-0.28864023442546366,-209.0,-209.0
1,0.995,-0.39755812703489074,-0.3430991807301772,-209.0,-209.0
2,0.990025,-0.3546834530572876,-0.346960604839214,-209.0,-209.0
3,0.985074875,-0.42633683309809806,-0.366804661903935,-209.0,-209.0
4,0.9801495006250001,-0.2788202780159506,-0.3492077851263381,-209.0,-209.0
5,0.9752487531218751,-0.3927084094596183,-0.3564578891818848,-209.0,-209.0
6,0.9703725093562657,-0.4379990696561918,-0.368106629249643,-209.0,-209.0
7,0.9655206468094844,-0.4500109656202817,-0.3783446712959728,-209.0,-209.0
8,0.960693043575437,-0.39377996275196225,-0.3800597036799716,-209.0,-209.0
9,0.9558895783575597,-0.38870433956605394,-0.38092416726857986,-209.0,-209.0
10,0.9511101304657719,-0.4552333496900514,-0.3876795474887137,-209.0,-209.0
11,0.946354579813443,-0.4292875480074807,-0.3911468808652776,-209.0,-209.0
12,0.9416228069143757,-0.36889604073549265,-0.38943527777837106,-209.0,-209.0
13,0.9369146928798039,-0.4293680516098929,-0.3922876187663369,-209.0,-209.0
14,0.9322301194154049,-0.3778354605008234,-0.391324141548636,-209.0,-209.0
15,0.9275689688183278,-0.3677953807435396,-0.3898535939983175,-209.0,-209.0
16,0.9229311239742362,-0.4426593582387928,-0.3929598154242278,-209.0,-209.0
17,0.918316468354365,-0.4273494360228877,-0.39487034990193115,-209.0,-209.0
18,0.9137248860125932,-0.4399797846035003,-0.3972445306756979,-209.0,-209.0
19,0.9091562615825302,-0.4393504626303128,-0.3993498272734287,-209.0,-209.0
20,0.9046104802746175,-0.417478283674027,-0.4002130871020286,-209.0,-209.0
21,0.9000874278732445,-0.5224572218036132,-0.4057696386793733,-209.0,-209.0
22,0.8955869907338783,-0.2195418675301527,-0.3976727790641898,-209.0,-209.0
23,0.8911090557802088,-0.4158944408053476,-0.39843201497007136,-209.0,-209.0
24,0.8866535105013078,-0.3864351964213097,-0.3979521422281209,-209.0,-209.0
25,0.8822202429488013,-0.35705474715544394,-0.39637916549455643,-209.0,-209.0
26,0.8778091417340573,-0.40275502016236236,-0.3966153082600307,-209.0,-209.0
27,0.8734200960253871,-0.4510201519421944,-0.39855833839153654,-209.0,-209.0
28,0.8690529955452602,-0.35871999329297755,-0.3971846023536552,-209.0,-209.0
29,0.8647077305675338,-0.21872408230406357,-0.39123591835200217,-209.0,-209.0
30,0.8603841919146962,-0.4271461255681486,-0.39239431213316817,-209.0,-209.0
31,0.8560822709551227,-0.47189006039301923,-0.3948785542662885,-209.0,-209.0
32,0.851801859600347,-0.4081417663352001,-0.3952804697835282,-209.0,-209.0
33,0.8475428503023453,-0.4126827354564472,-0.3957923011268494,-209.0,-209.0
34,0.8433051360508336,-0.43502496300199134,-0.396913234323282,-209.0,-209.0
35,0.8390886103705794,-0.32933128461849115,-0.3950359579425934,-209.0,-209.0
36,0.8348931673187264,-0.3988426836676496,-0.39513884242164893,-209.0,-209.0
37,0.8307187014821328,-0.2831985582878251,-0.39219304547075884,-209.0,-209.0
38,0.8265651079747222,-0.39266452729743634,-0.39220513474836594,-209.0,-209.0
39,0.8224322824348486,-0.31407661351708105,-0.3902519217175838,-209.0,-209.0
40,0.8183201210226743,-0.39883197779212587,-0.39046119137793855,-209.0,-209.0
41,0.8142285204175609,-0.4380688770231709,-0.391594707702825,-209.0,-209.0
42,0.810157377815473,-0.3000065944921046,-0.3894647515816454,-209.0,-209.0
43,0.8061065909263957,-0.22119733407264208,-0.38564049209280443,-209.0,-209.0
44,0.8020760579717637,-0.4387952393687721,-0.38682170869893706,-209.0,-209.0
45,0.798065677681905,-0.3637301993998212,-0.38631971936634757,-209.0,-209.0
46,0.7940753492934954,-0.45670509961056366,-0.3878172806481394,-209.0,-209.0
47,0.7901049725470279,-0.30739512548497416,-0.3861418190822401,-209.0,-209.0
48,0.7861544476842928,-0.41755131044742855,-0.3867828291101011,-209.0,-209.0
49,0.7822236754458713,-0.3783316134766407,-0.38661380479743185,-209.0,-209.0
50,0.778312557068642,-0.3480153103296078,-0.3858569715725726,-209.0,-209.0
51,0.7744209942832988,-0.3980599317217557,-0.3860916438831338,-209.0,-209.0
52,0.7705488893118823,-0.37386259698802693,-0.3858609071492638,-209.0,-209.0
53,0.7666961448653229,-0.4260371785416757,-0.3866049121750492,-209.0,-209.0
54,0.7628626641409962,-0.4423522733227211,-0.3876185005595524,-209.0,-209.0
55,0.7590483508202912,-0.32476486891778156,-0.38649611428023506,-209.0,-209.0
56,0.7552531090661897,-0.4169098630184567,-0.3870296888195021,-209.0,-209.0
57,0.7514768435208588,-0.4435502938889958,-0.38800418201035547,-209.0,-209.0
58,0.7477194593032545,-0.4922158119534065,-0.38977048082294957,-209.0,-209.0
59,0.7439808620067382,-0.0050962564251350265,-0.38335924374965263,-209.0,-209.0
60,0.7402609576967045,-0.4467113035890757,-0.38439780210767593,-209.0,-209.0
61,0.736559652908221,-0.28542586469343983,-0.3828014805364786,-209.0,-209.0
62,0.7328768546436799,-0.4909013262427524,-0.38451735110324486,-209.0,-209.0
63,0.7292124703704616,-0.42512776457538715,-0.38515188881374707,-209.0,-209.0
64,0.7255664080186093,-0.5025497650332135,-0.3869580099863542,-209.0,-209.0
65,0.7219385759785162,-0.3230979772350682,-0.3859904337325469,-209.0,-209.0
66,0.7183288830986236,-0.4451841692885319,-0.38687392232293466,-209.0,-209.0
67,0.7147372386831305,-0.31231291550084417,-0.38577743692849215,-209.0,-209.0
68,0.7111635524897149,-0.4833569271924077,-0.3871916324395634,-209.0,-209.0
69,0.7076077347272662,-0.42331546089187844,-0.3877076871317393,-209.0,-209.0
70,0.7040696960536299,-0.34695130557339543,-0.38713365358866403,-209.0,-209.0
71,0.7005493475733617,-0.39477771188569893,-0.38723982106501176,-209.0,-209.0
72,0.697046600835495,-0.17901385784237014,-0.38438741060990705,-209.0,-209.0
73,0.6935613678313175,-0.18487315338111615,-0.38169127199870717,-209.0,-209.0
74,0.6900935609921609,-0.022901614569639704,-0.376907409899653,-209.0,-209.0
75,0.6866430931872001,-0.38737532698417515,-0.3770451456507651,-209.0,-209.0
76,0.6832098777212641,-0.14096448256126187,-0.3739791630132391,-209.0,-209.0
77,0.6797938283326578,-0.16459432592583284,-0.371294742024939,-209.0,-209.0
78,0.6763948591909945,-0.42215431733503617,-0.37193853411747185,-209.0,-209.0
79,0.6730128848950395,-0.36358828955831307,-0.37183415606048237,-209.0,-209.0
80,0.6696478204705644,-0.4824929414545185,-0.37320031390485314,-209.0,-209.0
81,0.6662995813682115,-0.36782166544168715,-0.37313472063091213,-209.0,-209.0
82,0.6629680834613705,-0.3479525985851439,-0.3728313215701197,-209.0,-209.0
83,0.6596532430440636,0.08514241901207957,-0.3673792532298555,-209.0,-209.0
84,0.6563549768288433,-0.38109903655994126,-0.36754066244550354,-209.0,-209.0
85,0.653073201944699,-0.22707651226892278,-0.3659073583736828,-209.0,-209.0
86,0.6498078359349755,0.051687682084968045,-0.36110741537990526,-209.0,-209.0
87,0.6465587967553006,0.27902590239605873,-0.3538331731324511,-209.0,-209.0
88,0.6433260027715241,0.2014644639890663,-0.34759387383895096,-209.0,-209.0
89,0.6401093727576664,-0.40955407531640775,-0.3482823205220338,-209.0,-209.0
90,0.6369088258938781,-0.41244558013595295,-0.3489874112870219,-209.0,-209.0
91,0.6337242817644086,-0.052721422783477294,-0.3457671288032877,-209.0,-209.0
92,0.6305556603555866,0.11167086825122363,-0.34084844066291664,-209.0,-209.0
93,0.6274028820538087,0.06650151846756294,-0.3365149304594009,-209.0,-209.0
94,0.6242658676435396,-0.05360917775059831,-0.33353697516772923,-209.0,-209.0
